title,genres,id,keywords,original_language,popularity,release_date,revenue,runtime,vote_average,cast,budget
All The Queen's Men,Action Comedy Drama History,31668,transvestism world war ii,en,1.833058,14-10-2001,23000,99,6.1,Matt LeBlanc Eddie Izzard James Cosmo Nicolette Krebitz David Tristan Birkin,15000000
The Good Night,Comedy Drama Romance Fantasy Music,13501,dream midlife crisis lucid dreaming,en,12.185204,25-01-2007,20380,93,5.7,Pen\u00e9lope Cruz Martin Freeman Gwyneth Paltrow Simon Pegg Danny DeVito,15000000
Bathory: Countess of Blood,Drama Fantasy,15208,sex legend countess,en,2.500218,04-07-2008,0,141,5.6,Anna Friel Karel Roden Hans Matheson Vincent Regan Franco Nero,0
Khumba,Animation Adventure Family,172391,3d khumba,en,6.459787,18-07-2013,27187375,85,5.8,Jake T. Austin Liam Neeson Steve Buscemi AnnaSophia Robb Laurence Fishburne,20000000
Automata,Thriller Science Fiction,262543,artificial intelligence rain future dystopia robot,en,49.808505,09-10-2014,0,110,5.6,Antonio Banderas Birgitte Hjort S\u00f8rensen Dylan McDermott Robert Forster Tim McInnerny,7000000
Dungeons & Dragons: Wrath of the Dragon God,Action Adventure Fantasy,9288,fighter royalty curse dragon,en,4.901936,01-01-2005,0,105,4.8,Bruce Payne Mark Dymond Clemency Burton-Hill Ellie Chidzey Tim Stern,0
Chiamatemi Francesco - Il Papa della gente,Drama,370980,pope biography,it,0.738646,03-12-2015,0,,7.3,Rodrigo de la Serna Sergio Hern\u00e1ndez \u00c0lex Brendem\u00fchl Maximilian Dirr Mercedes Mor\u00e1n,15000000
Shinjuku Incident,Drama Action Thriller Crime,20083,drug stealing yakluza shinjuku criminal syndicate taiwanese,zh,5.294319,22-03-2009,0,119,6.7,Jackie Chan Naoto Takenaka Daniel Wu Xu Jinglei Fan Bingbing,15000000
Pandaemonium,Drama Foreign,40880,,en,0.165367,29-06-2001,0,124,4.5,Linus Roache John Hannah Samantha Morton Emily Woof Andrea Lowe,0
Groundhog Day,Romance Fantasy Drama Comedy,137,deja vu groundhog weather forecast telecaster pennsylvania,en,52.744331,11-02-1993,70906973,101,7.4,Bill Murray Andie MacDowell Chris Elliott Stephen Tobolowsky Brian Doyle-Murray,14600000
Magic Mike XXL,Comedy Drama Music,264999,male friendship strip club road trip strip tease strip,en,29.660993,01-07-2015,122513057,115,6.3,Channing Tatum Matt Bomer Joe Manganiello Kevin Nash Adam Rodr\u00edguez,14800000
Romeo + Juliet,Drama Romance,454,shakespeare forbidden love gun violence star crossed lovers shakespeare in modern dress,en,41.493042,31-10-1996,147298761,120,6.7,Leonardo DiCaprio Claire Danes John Leguizamo Harold Perrineau Pete Postlethwaite,14500000
Sarah's Key,Drama War,53457,,fr,10.072199,16-09-2010,17511906,111,7.2,Kristin Scott Thomas Niels Arestrup Fr\u00e9d\u00e9ric Pierrot Michel Duchaussoy Dominique Frot,10000000
Freedom,Drama,288980,ship freedom slave,en,4.389363,21-08-2014,0,98,5.8,Cuba Gooding Jr. William Sadler Sharon Leal David Rasche Diane Salinger,14500000
Unforgiven,Western,33,prostitute sheriff bounty regret right and justice,en,37.380435,07-08-1992,159157447,131,7.7,Clint Eastwood Gene Hackman Morgan Freeman Richard Harris Jaimz Woolvett,14000000
Manderlay,Drama,1951,southern usa slavery duringcreditsstinger,da,7.05145,16-05-2005,674918,139,6.9,Bryce Dallas Howard Isaach De Bankol\u00e9 Danny Glover Willem Dafoe Micha\u00ebl Abiteboul,14200000
Slumdog Millionaire,Drama Romance,12405,slum indian lead cheating suspicion game show,en,59.258969,12-05-2008,377910544,120,7.6,Dev Patel Freida Pinto Anil Kapoor Mia Drake Inderbitzin Saurabh Shukla,15000000
Fatal Attraction,Drama Romance Thriller,10998,sexual obsession wife husband relationship deceived wife marriage crisis suspense,en,16.742972,11-09-1987,320145693,119,6.6,Michael Douglas Glenn Close Anne Archer Ellen Hamilton Latzen Jane Krakowski,14000000
Pretty Woman,Romance Comedy,114,prostitute capitalism cinderella expensive restaurant sports car,en,45.473484,23-03-1990,463000000,119,7,Julia Roberts Richard Gere Ralph Bellamy Jason Alexander H\u00e9ctor Elizondo,14000000
Crocodile Dundee II,Adventure Comedy,9396,new york crocodile australia large knife aftercreditsstinger,en,15.474831,19-05-1988,239606210,110,5.5,Paul Hogan Linda Kozlowski John Meillon Ernie Dingo Charles S. Dutton,0
Broken Horses,Thriller Mystery Drama Crime,319910,,en,4.289676,15-03-2015,0,101,5,Mar\u00eda Valverde Vincent D'Onofrio Thomas Jane Anton Yelchin Sean Patrick Flanery,0
Born on the Fourth of July,Drama War,2604,vietnam veteran post traumatic stress  disorder bar 1970s wheelchair,en,25.949277,20-12-1989,161001698,145,6.7,Tom Cruise Raymond J. Barry Caroline Kava Holly Marie Combs Kyra Sedgwick,14000000
Cool Runnings,Comedy,864,winter trainer olympic games jamaica training camp,en,22.409117,30-09-1993,154864401,98,6.8,Leon Robinson Doug E. Doug Rawle D. Lewis Malik Yoba John Candy,14000000
My Bloody Valentine,Mystery Horror,14435,sheriff miner delusion head injury remake,en,13.706357,16-01-2009,100734718,101,5.3,Jensen Ackles Jaime King Kerr Smith Betsy Rue Edi Gathegi,15000000
Stomp the Yard,Drama Music,1931,love at first sight loss of brother breakdance daughter,en,6.92205,16-05-2007,75511123,114,6.1,Columbus Short Meagan Good Ne-Yo Darrin Henson Jermaine Williams,13000000
The Spy Who Loved Me,Adventure Action Thriller,691,london england submarine england assassination spy,en,27.17347,07-07-1977,185438673,125,6.6,Roger Moore Barbara Bach Curd J\u00fcrgens Richard Kiel Caroline Munro,14000000
Urban Legend,Horror Thriller,9877,college murder urban legend slasher killer,en,12.159009,25-09-1998,72527595,99,5.6,Alicia Witt Jared Leto Rebecca Gayheart Michael Rosenbaum Loretta Devine,14000000
Good Deeds,Comedy Drama Romance,62008,african american single mother fianc\u00e9 fianc\u00e9e relationship corporation rich man - poor woman,en,4.448494,23-02-2012,0,111,6.2,Tyler Perry Phylicia Rash\u0101d Thandie Newton Brian J. White Gabrielle Union,0
White Fang,Action Adventure Drama Family,12227,based on novel gold treasure coffin human animal relationship,en,13.13724,18-01-1991,34793160,107,6.5,Klaus Maria Brandauer Ethan Hawke Seymour Cassel Susan Hogan James Remar,14000000
Superstar,Comedy Family,13824,,en,4.04701,08-10-1999,0,81,5.1,Molly Shannon Will Ferrell Elaine Hendrix Harland Williams Tom Green,0
The Iron Lady,History Drama,71688,capitalism prime minister argentina margaret thatcher british overseas territory,en,23.3784,30-12-2011,114956699,105,6.2,Meryl Streep Anthony Stewart Head Harry Lloyd Jim Broadbent Susan Brown,13000000
Jonah: A VeggieTales Movie,Action Adventure Animation Comedy Family,15173,,en,1.446172,04-10-2002,0,82,6.4,Phil Vischer Mike Nawrocki Tim Hodge Lisa Vischer Daniel Anderson,0
Poetic Justice,Drama Romance,8291,loss of lover sadness los angeles road movie,en,3.650857,23-07-1993,27515786,109,6.9,Janet Jackson Tupac Amaru Shakur Regina King Joe Torry Tyra Ferrell,14000000
All About the Benjamins,Action Adventure Comedy,13950,record store sexuality autograph underwear painting,en,5.102258,08-03-2002,25482931,95,5.8,Ice Cube Mike Epps Tommy Flanagan Carmen Chaplin Eva Mendes,14000000
Vampire in Brooklyn,Comedy Horror Romance,12158,vampire half vampire,en,6.772615,27-10-1995,19800000,100,4.5,Eddie Murphy Angela Bassett Allen Payne Kadeem Hardison John Witherspoon,14000000
Exorcist II: The Heretic,Horror Thriller Fantasy,11586,exorcism examination pact with the devil possession priest,en,11.543363,17-06-1977,30749142,118,4.5,Linda Blair Richard Burton Louise Fletcher Max von Sydow Kitty Winn,14000000
An American Haunting,Horror Thriller,10008,witch independent film curse suitor family,en,7.436315,05-05-2005,0,83,5.3,Donald Sutherland Sissy Spacek James D'Arcy Matthew Marsh Gaye Brown,0
My Boss's Daughter,Comedy Romance,2830,,en,14.813614,21-08-2003,0,83,4.4,Ashton Kutcher Tara Reid Andy Richter Jeffrey Tambor Michael Madsen,14000000
A Perfect Getaway,Thriller Mystery Adventure,12403,hawaii honeymoon double murder murder,en,20.792603,08-06-2009,22852638,98,6.2,Milla Jovovich Timothy Olyphant Steve Zahn Chris Hemsworth Anthony Ruivivar,14000000
Our Family Wedding,Comedy,34563,interracial marriage wedding duringcreditsstinger,en,6.733485,12-03-2010,21409028,103,5.7,Forest Whitaker America Ferrera Carlos Mencia Regina King Lance Gross,14000000
Dead Man on Campus,Comedy,14557,college drug fraternity house pot teen suicide,en,7.708227,21-08-1998,0,96,5.6,Tom Everett Scott Mark-Paul Gosselaar Poppy Montgomery Lochlyn Munro Randy Pearlstein,0
Tea with Mussolini,Comedy Drama War,10368,italy hotel loss of mother ambassador world war ii,en,2.238646,25-03-1999,21001563,117,5.8,Cher Judi Dench Joan Plowright Maggie Smith Lily Tomlin,12000000
Thinner,Horror Thriller,10280,blow job curse fat suit steven king,en,7.866961,25-10-1996,0,92,5.5,Robert John Burke Joe Mantegna Lucinda Jenney Michael Constantine Kari Wuhrer,0
"New York, New York",Drama Music Romance,12637,new york jazz saxophonist falling in love,en,3.876242,21-06-1977,0,155,6.1,Liza Minnelli Robert De Niro Lionel Stander Barry Primus Dick Miller,0
Crooklyn,Comedy Drama,34152,black people 1970s jazz musician stra\u00dfenkids dysfunctional family,en,1.89218,13-05-1994,0,115,6.7,Alfre Woodard Delroy Lindo David Patrick Kelly Zelda Harris Carlton Williams,0
I Think I Love My Wife,Comedy Romance,14434,,en,4.536745,16-03-2007,13196245,90,5,Chris Rock Kerry Washington Gina Torres Steve Buscemi Edward Herrmann,11000000
Jason X,Horror Science Fiction,11470,places and planets space marine future cryogenics space,en,11.220643,24-07-2001,16951798,91,4.5,Kane Hodder Lexa Doig Chuck Campbell Lisa Ryder David Cronenberg,11000000
Bobby,History Drama,10741,hotel senator kitchen marriage crisis politics,en,11.706309,05-09-2006,0,120,6.4,Anthony Hopkins Heather Graham Ashton Kutcher Mary Elizabeth Winstead Helen Hunt,0
Head Over Heels,Comedy Romance,24940,supermodel stalking models,en,4.66723,02-02-2001,10424470,86,5.3,Monica Potter Freddie Prinze Jr. Shalom Harlow Ivana Mili\u010devi\u0107 Sarah Murdoch,14000000
Fun Size,Comedy,82679,halloween friends little brother trick or treating boyfriend girlfriend relationship,en,7.487843,25-10-2012,11417362,87,5.5,Victoria Justice Jackson Nicoll Chelsea Handler Josh Pence Jane Levy,14000000
The Diving Bell and the Butterfly,Drama,2013,writing lover (female) psychological stress dying and death editor-in-chief,fr,13.65494,22-05-2007,19777647,112,7.4,Mathieu Amalric Emmanuelle Seigner Marie-Jos\u00e9e Croze Anne Consigny Patrick Chesnais,14000000
Little Children,Romance Drama,1440,skateboarding mother american football adultery wife husband relationship,en,11.942862,06-10-2006,14821658,136,6.9,Kate Winslet Patrick Wilson Jennifer Connelly Jackie Earle Haley Noah Emmerich,26000000
Gossip,Drama Mystery Thriller,18041,college suspense gossip rumor social experiment,en,5.833687,21-04-2000,5108820,90,5.5,Joshua Jackson James Marsden Kate Hudson Lena Headey Norman Reedus,14000000
A Walk on the Moon,Drama Romance,28029,adultery woodstock 1960s,en,6.370267,29-01-1999,0,107,6.2,Diane Lane Viggo Mortensen Liev Schreiber Anna Paquin Tovah Feldshuh,14000000
Catch a Fire,Action Drama Thriller,1123,police brutality resistance south africa apartheid african national congress,en,4.052219,27-10-2006,4291965,101,6.4,Tim Robbins Derek Luke Bonnie Henna Mncedisi Shabangu Tumisho Masha,0
Soul Survivors,Horror Mystery Thriller,14033,hallucination car crash death sole survivor,en,3.231848,06-09-2001,0,84,4.4,Eliza Dushku Melissa Sagemiller Wes Bentley Casey Affleck Angela Featherstone,0
Jefferson in Paris,Drama Romance,87729,france revolution biography president history,en,0.900442,31-03-1995,2474000,139,5.2,Nick Nolte Greta Scacchi Thandie Newton Gwyneth Paltrow Jean-Pierre Aumont,14000000
Easy Virtue,Comedy Romance,16899,,en,8.387573,01-01-2008,0,93,6.3,Jessica Biel Ben Barnes Kristin Scott Thomas Colin Firth Kimberley Nixon,0
Caravans,Action Adventure Drama Romance,41317,,en,0.633004,02-11-1978,0,127,5.8,Anthony Quinn Jennifer O'Neill Michael Sarrazin Christopher Lee Joseph Cotten,0
Mr. Turner,History Drama,245700,painter,en,9.242554,31-10-2014,5405500,150,6.3,Timothy Spall Dorothy Atkinson Marion Bailey Paul Jesson Lesley Manville,0
Wild Grass,Drama Romance,37842,whiskey experimental film wallet cult director,fr,1.866443,20-05-2009,0,104,5.8,Andr\u00e9 Dussollier Sabine Az\u00e9ma Emmanuelle Devos Mathieu Amalric Anne Consigny,0
Amen.,Drama History,9045,vatican pope concentration camp holocaust schutzstaffel,fr,5.930533,13-02-2002,0,132,7.1,Ulrich Tukur Mathieu Kassovitz Ulrich M\u00fche Michel Duchaussoy Marcel Iure\u0219,0
Reign of Assassins,History Action,44092,martial arts sword fight wuxia,zh,4.930129,01-09-2010,0,117,6.7,Michelle Yeoh Jung Woo-sung Wang Xue-qi Barbie Hsu Shawn Yue,12000000
The Lucky Ones,Comedy Drama History,16005,friendship war road trip independent film soldier,en,8.747922,26-09-2008,0,113,6.3,Tim Robbins Rachel McAdams Michael Pe\u00f1a Kerry Bish\u00e9 Molly Hagan,0
Margaret,Drama,44754,new york bus nightmare witness investigation,en,4.898424,30-09-2011,46495,149,6.1,Anna Paquin Matt Damon Mark Ruffalo Matthew Broderick Jeannie Berlin,14000000
Stan Helsing,Comedy Horror,23988,halloween slapstick duringcreditsstinger,en,7.410523,27-10-2009,0,90,4,Diora Baird Leslie Nielsen Steve Howey Kenan Thompson Tara Wilson,108
Flipped,Romance Drama,43949,shyness based on novel unrequited love neighbor family relationships,en,24.210698,06-08-2010,1755212,89,7.4,Madeline Carroll Callan McAuliffe Rebecca De Mornay Anthony Edwards John Mahoney,14000000
Brokeback Mountain,Drama Romance,142,gay countryside homophobia loss of lover wyoming,en,44.135568,02-09-2005,178043761,134,7.5,Heath Ledger Jake Gyllenhaal Randy Quaid Michelle Williams Anne Hathaway,14000000
Clueless,Comedy Drama Romance,9603,puberty high school make a match spoiled child gay interest,en,16.051328,19-07-1995,0,97,6.9,Alicia Silverstone Stacey Dash Brittany Murphy Paul Rudd Donald Faison,12000000
Far from Heaven,Drama Romance,10712,black people wife husband relationship botanist homosexuality,en,9.982885,01-09-2002,29027914,107,6.9,Julianne Moore Dennis Quaid Dennis Haysbert Patricia Clarkson Viola Davis,13500000
Hot Tub Time Machine 2,Comedy,243938,time travel sequel hot tub duringcreditsstinger,en,16.618874,20-02-2015,12314651,93,5,Rob Corddry Craig Robinson Clark Duke Adam Scott Chevy Chase,14000000
Quills,Drama,10876,asylum french revolution french smuggling maid,en,7.261196,22-11-2000,7060876,124,6.8,Geoffrey Rush Kate Winslet Joaquin Phoenix Michael Caine Billie Whitelaw,13500000
Seven Psychopaths,Comedy Crime,86838,suicide alcohol sex screenwriter underworld,en,32.306455,07-09-2012,19422261,110,6.7,Colin Farrell Sam Rockwell Woody Harrelson Christopher Walken Tom Waits,15000000
The Caveman's Valentine,Drama Mystery Thriller,25208,woman director,en,4.722403,19-01-2001,0,105,6,Samuel L. Jackson Colm Feore Ann Magnuson Aunjanue Ellis Tamara Tunie,0
Downfall,Drama History War,613,berlin poison dictator clerk ideology,de,32.445895,08-09-2004,92180910,156,7.7,Bruno Ganz Alexandra Maria Lara Corinna Harfouch Ulrich Matthes Juliane K\u00f6hler,18339750
The Sea Inside,Drama,1913,brother brother relationship paraplegic intensive care ladykiller wheelchair,es,17.363739,03-09-2004,38535221,125,7.2,Javier Bardem Bel\u00e9n Rueda Lola Due\u00f1as Joan Dalmau Josep Maria Pou,12806000
Under the Skin,Thriller Science Fiction Drama,97370,male nudity scotland edinburgh alien very little dialogue,en,29.782161,14-03-2014,5380251,108,6,Scarlett Johansson Kry\u0161tof H\u00e1dek Paul Brannigan Michael Moreland Scott Dymond,13300000
"Good Morning, Vietnam",Comedy Drama War,801,rock and roll radio station war crimes entertainer explosive,en,18.362333,23-12-1987,123922370,121,7.1,Robin Williams Forest Whitaker Tung Thanh Tran Chintara Sukapatana Bruno Kirby,13000000
The Last Godfather,Action Comedy Thriller,70829,,en,0.680753,29-12-2010,16700000,100,4.7,Harvey Keitel Jason Mewes Blake Clark Jon Polito Paul Hipp,13400000
Justin Bieber: Never Say Never,Documentary Music Family,54518,manager canada pop singer star prayer,en,6.735922,11-02-2011,98441954,105,4.8,Justin Bieber Miley Cyrus Usher Raymond Jaden Smith Sean Kingston,13000000
Black Swan,Drama Thriller,44214,dancing competition sex dancer obsession,en,91.285683,02-12-2010,327803731,108,7.3,Natalie Portman Mila Kunis Vincent Cassel Barbara Hershey Winona Ryder,13000000
The Godfather: Part II,Drama Crime,240,italo-american cuba vororte melancholy praise,en,105.792936,20-12-1974,47542841,200,8.3,Al Pacino Robert Duvall Diane Keaton Robert De Niro John Cazale,13000000
Save the Last Dance,Drama Family Romance Music,9816,ballet dancer musical ballet,en,9.969624,12-01-2001,91038276,112,6.3,Julia Stiles Sean Patrick Thomas Kerry Washington Fredro Starr Terry Kinney,13000000
A Nightmare on Elm Street 4: The Dream Master,Horror Thriller,10131,martial arts nightmare supernatural high school resurrection,en,17.113408,19-08-1988,72500000,99,5.8,Robert Englund Tuesday Knight Ken Sagoes Rodney Eastman Lisa Wilcox,7000000
Miracles from Heaven,Drama,339984,miracle christian cure woman director accident,en,10.248439,17-03-2016,77000000,117,6.7,Jennifer Garner Kylie Rogers Martin Henderson Brighton Sharbino Courtney Fansler,16000000
"Dude, Whereâ€™s My Car?",Comedy,8859,dude amnesia idiot auto friendship,en,25.316146,15-12-2000,73180723,83,5.2,Ashton Kutcher Seann William Scott Kristy Swanson Jennifer Garner Marla Sokoloff,13000000
Young Guns,Crime Action Adventure Drama Western,11967,corruption sheriff deputy sheriff ranch billy the kid,en,9.499325,12-08-1988,44726644,107,6.6,Emilio Estevez Kiefer Sutherland Lou Diamond Phillips Charlie Sheen Dermot Mulroney,13000000
St. Vincent,Comedy,239563,babysitter friendship neighbor divorce child of divorce,en,43.791745,09-10-2014,54837234,102,7.1,Bill Murray Melissa McCarthy Naomi Watts Jaeden Lieberher Chris O'Dowd,13000000
About Last Night,Comedy Romance,222899,duringcreditsstinger,en,11.828068,14-02-2014,49002684,100,6,Kevin Hart Michael Ealy Regina Hall Joy Bryant Christopher McDonald,12500000
10 Things I Hate About You,Comedy Romance Drama,4951,shakespeare sister high school cannabis deception,en,54.550275,30-03-1999,53478166,97,7.3,Heath Ledger Julia Stiles Joseph Gordon-Levitt Larisa Oleynik David Krumholtz,16000000
The New Guy,Comedy Family,10985,prison dual identity identity loser high school,en,13.525704,10-05-2002,0,88,5.7,DJ Qualls Eliza Dushku Zooey Deschanel Lyle Lovett Jerod Mixon,13000000
National Lampoon's Loaded Weapon 1,Comedy,9644,cocaine police spoof los angeles,en,12.963328,04-02-1993,0,84,5.7,Emilio Estevez Samuel L. Jackson Jon Lovitz Tim Curry Kathy Ireland,0
The Shallows,Horror Drama Thriller,332567,mexico beach surfer island survival,en,60.829621,24-06-2016,119100758,86,6.2,Blake Lively \u00d3scar Jaenada Angelo Josue Lozano Corzo Jos\u00e9 Manuel Trujillo Salas Brett Cullen,17000000
The Butterfly Effect,Science Fiction Thriller,1954,amnesia chaos theory blackout time travel flashback,en,73.307513,22-01-2004,96060858,113,7.3,Ashton Kutcher Melora Walters Amy Smart Elden Henson William Lee Scott,13000000
Snow Day,Comedy Family,15489,,en,7.964289,11-02-2000,0,89,4.8,Chevy Chase Chris Elliott Jean Smart Iggy Pop Pam Grier,0
This Christmas,Comedy Drama,15250,drama family family holiday family feud,en,2.388918,27-11-2007,0,117,7.1,Loretta Devine Delroy Lindo Idris Elba Regina King Laz Alonso,13000000
Baby Geniuses,Science Fiction Comedy Family,22345,baby genius toddler baby geniuses,en,4.580081,12-03-1999,36450736,97,3.3,Kathleen Turner Christopher Lloyd Kim Cattrall Peter MacNicol Dom DeLuise,12000000
The Big Hit,Action Adventure Comedy Thriller,9448,bungee-jump dark comedy cigarette smoking slow motion video store,en,6.425528,24-04-1998,27007143,91,6.1,Mark Wahlberg Lou Diamond Phillips Christina Applegate China Chow Avery Brooks,13000000
Harriet the Spy,Comedy Drama Family,38223,spy secret nanny notebook binoculars,en,4.63093,10-07-1996,0,100,5.7,Michelle Trachtenberg Rosie O'Donnell J. Smith-Cameron Eartha Kitt Vanessa Lee Chester,12000000
Child's Play 2,Drama Horror,11186,faithlessness puppet killer toys toy comes to life,en,16.681567,09-11-1990,35763605,84,5.8,Alex Vincent Jenny Agutter Gerrit Graham Christine Elise Brad Dourif,13000000
No Good Deed,Crime Thriller,136835,sadistic hostage sociopath serial killer blood,en,24.656068,10-09-2014,53830415,83,5.6,Idris Elba Taraji P. Henson Leslie Bibb Kate del Castillo Henry Simmons,13200000
The Mist,Science Fiction Horror Thriller,5876,father son relationship monster supermarket fight artist,en,37.104353,21-11-2007,57096190,126,6.7,Thomas Jane Marcia Gay Harden Laurie Holden Andre Braugher Toby Jones,18000000
Ex Machina,Drama Science Fiction,264660,dancing artificial intelligence distrust isolation technology,en,95.130041,21-01-2015,36869414,108,7.6,Domhnall Gleeson Alicia Vikander Oscar Isaac Sonoya Mizuno Corey Johnson,15000000
Being John Malkovich,Fantasy Drama Comedy,492,individual transvestism sexual identity witch identity,en,27.546914,30-09-1999,22863596,112,7.3,John Cusack Cameron Diaz Catherine Keener Charlie Sheen John Malkovich,13000000
Two Can Play That Game,Comedy Romance,25462,,en,2.27213,07-09-2001,0,90,6.6,Vivica A. Fox Morris Chestnut Anthony Anderson Gabrielle Union Wendy Raquel Robinson,6000000
Earth to Echo,Family Adventure Science Fiction,238603,alien found footage,en,17.371327,14-06-2014,45300000,89,5.7,Teo Halm Astro Resse Hartwig Ella Wahlestedt Jason Gray-Stanford,13000000
Crazy/Beautiful,Drama Romance,10691,lovesickness jealousy parents kids relationship love of one's life cutting the cord,en,6.130096,29-06-2001,16929123,99,6.6,Kirsten Dunst Jay Hernandez Bruce Davison Herman Osorio Miguel Castro,13000000
Letters from Iwo Jima,Action Adventure Drama War,1251,world war ii cave dying and death pacific theater japanese army,en,24.47248,19-12-2006,68673228,141,7.2,Ken Watanabe Kazunari Ninomiya Tsuyoshi Ihara Ryo Kase Shidou Nakamura,19000000
The Astronaut Farmer,Adventure Comedy Drama Science Fiction,5172,nasa texas dream fbi bankrupt,en,6.764437,15-10-2006,11130889,104,6.2,Billy Bob Thornton Virginia Madsen Max Thieriot Jasper Polish Logan Polish,13000000
Woo,Comedy Romance,58680,"blind date love manhattan, new york city woman director",en,1.750054,08-05-1998,8026971,84,5.5,Jada Pinkett Smith Tommy Davidson Duane Martin Michael Ralph Darrel Heath,13000000
Room,Drama Thriller,264644,based on novel carpet isolation kidnapping imprisonment,en,66.11334,16-10-2015,35401758,117,8.1,Brie Larson Jacob Tremblay Joan Allen Sean Bridgers William H. Macy,6000000
Dirty Work,Comedy,14577,,en,9.066881,12-06-1998,0,82,6.5,Norm Macdonald Artie Lange Jack Warden Traylor Howard Don Rickles,0
Serial Mom,Comedy Crime Horror Thriller,11592,housewife protection motherly love evil mother murder,en,6.170139,13-04-1994,7820688,95,6.4,Kathleen Turner Sam Waterston Ricki Lake Matthew Lillard Traci Lords,13000000
Dick,Comedy,16406,richard nixon watergate the white house,en,4.742537,04-08-1999,27500000,94,5.7,Kirsten Dunst Michelle Williams Will Ferrell Dan Hedaya Bruce McCulloch,13000000
Light It Up,Drama Thriller,19052,,en,1.212956,04-11-1999,0,99,6.6,Usher Raymond Vanessa Williams Forest Whitaker Rosario Dawson Robert Ri'chard,0
54,Music Drama,3682,new york sex nightclub money drug,en,11.880899,28-08-1998,16757163,106,5.5,Ryan Phillippe Salma Hayek Breckin Meyer Mike Myers Neve Campbell,13000000
Bubble Boy,Adventure Comedy Drama Romance,9683,lovesickness niagara falls crush youth illness,en,10.131123,24-08-2001,0,84,5.1,Jake Gyllenhaal Swoosie Kurtz Marley Shelton Danny Trejo John Carroll Lynch,0
Birthday Girl,Comedy Crime Thriller,2084,female nudity robbery mail order bride bank clerk,en,5.831302,06-09-2001,0,93,6.1,Nicole Kidman Ben Chaplin Vincent Cassel Mathieu Kassovitz Kate Lynn Evans,13000000
21 & Over,Comedy,107811,alcohol birthday debauchery,en,35.522027,01-03-2013,48065672,93,5.7,Miles Teller Skylar Astin Justin Chon Sarah Wright Jonathan Keltz,13000000
"Paris, je t'aime",Drama Romance,2266,paris city portrait jazz subway new love,fr,10.573191,16-05-2006,4857367,120,6.8,Steve Buscemi Natalie Portman Willem Dafoe Maggie Gyllenhaal Axel Kiener,13000000
Resurrecting the Champ,Drama,13074,sport,en,4.898437,14-06-2007,0,112,5.9,Samuel L. Jackson Josh Hartnett Alan Alda Teri Hatcher Kathryn Morris,0
Admission,Comedy Drama Romance,144340,princeton university admissions,en,17.632446,21-03-2013,18000000,107,5.4,Tina Fey Paul Rudd Michael Sheen Lily Tomlin Wallace Shawn,13000000
The Widow of Saint-Pierre,Romance Drama,48217,france island fisherman love revenge,en,1.780065,01-01-2000,0,112,6.7,Daniel Auteuil Emir Kusturica Juliette Binoche Michel Duchaussoy Philippe Magnan,0
Chloe,Drama Thriller Mystery,28211,toronto lesbian remake of french film suspicious wife female doctor,en,26.373864,25-03-2009,8459458,96,5.9,Julianne Moore Liam Neeson Amanda Seyfried Max Thieriot R. H. Thomson,15000000
Faithful,Comedy Crime Drama,47502,kitchen female protagonist bathtub wedding anniversary flashback,en,1.647335,03-04-1996,9789900,91,4.8,Cher Chazz Palminteri Ryan O'Neal Paul Mazursky Amber Smith,13000000
Find Me Guilty,Drama Action Comedy Crime,9950,court case staatsanw\u00e4ltin family clan gangster,en,12.321302,16-03-2006,2636637,125,6.5,Vin Diesel Alex Rocco Frank Pietrangolare Richard DeDomenico Paul Borghese,13000000
The Perks of Being a Wallflower,Drama Romance,84892,shyness secret narration kiss freshman,en,43.444135,20-09-2012,33400000,102,7.7,Logan Lerman Emma Watson Ezra Miller Paul Rudd Nina Dobrev,13000000
Excessive Force,Action,24227,police shoulder holster police shootout shootout at a train station,en,1.279106,14-05-1993,1200000,87,4.5,Thomas Ian Griffith Lance Henriksen James Earl Jones Burt Young Tony Todd,3000000
Infamous,Drama,9672,killing death penalty kansas author murder hunt,en,3.680896,16-11-2006,1151330,110,6.4,Sigourney Weaver Toby Jones Gwyneth Paltrow Sandra Bullock Isabella Rossellini,13000000
The Claim,Drama Romance Western,44853,,en,2.996284,29-12-2000,0,120,5.6,Peter Mullan Milla Jovovich Wes Bentley Nastassja Kinski Sarah Polley,0
The Vatican Tapes,Thriller Horror,157544,exorcism anti-christ exorcist,en,10.475368,24-07-2015,1784763,91,4.6,Olivia Taylor Dudley Michael Pe\u00f1a Djimon Hounsou Dougray Scott Peter Andersson,13000000
Attack the Block,Action Comedy Science Fiction,59678,street gang fireworks chase meteor playground,en,30.952377,12-05-2011,3964682,88,6.3,Nick Frost Jodie Whittaker John Boyega Luke Treadaway Flaminia Cinque,14350531
In the Land of Blood and Honey,Drama Romance War,79777,muslim sister sister relationship sarajevo bosnian war of 1992-1995 violence,en,4.267466,23-12-2011,303877,127,5.8,Zana Marjanovi\u0107 Goran Kosti\u0107 Branko \u0110uri\u0107 Dzana Pinjo Milo\u0161 Timotijevi\u0107,10000000
The Call,Crime Thriller,158011,underground gas station kidnapping murder suspense,en,34.532418,14-03-2013,68572378,94,6.6,Halle Berry Abigail Breslin Morris Chestnut Michael Imperioli Ella Rae Peck,13000000
